expt_name,subjectID,order,age,iswomen,sessionNumber,game,gameLength,uc,m1,m2,r1,r2,r3,r4,r5,r6,r7,r8,r9,r10,c1,c2,c3,c4,c5,c6,c7,c8,c9,c10,rt1,rt2,rt3,rt4,rt5,rt6,rt7,rt8,rt9,rt10
dlpfc,10,1,25,0,1,111,10,1,40,20,39,33,55,36,38,7,12,10,45,41,1,2,1,1,1,2,2,2,1,1,,,,,0.3510629,0.084112,0.353149762,0.392189228,0.313030395,0.476376225
dlpfc,10,1,25,0,1,112,10,2,60,52,67,60,51,65,44,51,70,70,59,65,1,1,2,2,2,1,1,1,1,1,,,,,0.4938376,0.3551789,0.3256661,0.2927384,0.280118,0.280118
dlpfc,10,1,25,0,1,113,10,2,48,40,41,31,57,34,44,36,56,47,50,29,1,2,1,2,1,2,1,1,1,1,,,,,0.3476764,0.2795025,0.248865,0.2386483,0.2466007,0.2466007
dlpfc,10,1,25,0,1,114,10,3,36,40,29,49,39,34,45,54,30,28,44,36,2,1,2,2,1,1,1,1,2,1,,,,,0.2980082,0.2969012,0.2354682,0.1347082,0.0902728,0.0902728
dlpfc,10,1,25,0,1,115,5,3,64,60,63,57,70,71,61,,,,,,2,2,1,2,2,,,,,,,,,,0.6058247,,,,,
dlpfc,10,1,25,0,1,116,10,1,40,60,60,26,54,38,64,51,45,61,62,62,2,1,1,1,2,2,1,2,2,2,,,,,0.2541071,0.330386,0.2088814,0.278507854,0.24252315,0.437463261
dlpfc,10,1,25,0,1,117,5,2,40,32,50,18,33,47,35,,,,,,1,2,2,1,1,,,,,,,,,,0.1042764,,,,,
dlpfc,10,1,25,0,1,118,10,1,60,80,54,54,75,61,66,86,81,89,74,83,1,1,2,1,1,2,2,2,2,2,,,,,0.2579452,0.284257,0.198914,0.2429193,0.2139768,0.2139768
dlpfc,10,1,25,0,1,119,5,3,52,40,32,54,36,46,27,,,,,,2,1,2,2,2,,,,,,,,,,0.4402498,,,,,
dlpfc,10,1,25,0,1,120,5,2,44,40,52,49,40,31,45,,,,,,1,1,2,2,1,,,,,,,,,,0.3300467,,,,,
dlpfc,10,1,25,0,1,121,5,1,48,40,49,61,41,51,52,,,,,,1,1,2,1,1,,,,,,,,,,0.2686502,,,,,
dlpfc,10,1,25,0,1,122,5,2,60,48,60,44,58,51,61,,,,,,1,2,1,2,1,,,,,,,,,,0.2866736,,,,,
dlpfc,10,1,25,0,1,123,5,1,68,60,66,56,66,71,67,,,,,,1,1,1,2,1,,,,,,,,,,0.7637926,,,,,
dlpfc,10,1,25,0,1,124,5,1,60,40,66,31,61,51,62,,,,,,1,2,1,1,1,,,,,,,,,,1.0168732,,,,,
dlpfc,10,1,25,0,1,125,5,2,40,28,24,8,34,39,37,,,,,,2,2,1,1,1,,,,,,,,,,0.0703581,,,,,
dlpfc,10,1,25,0,1,126,10,1,60,72,36,74,66,68,57,73,62,79,75,64,1,2,1,1,1,2,1,2,2,2,,,,,0.6230301,0.1971977,0.2027952,0.49203,0.46411338,0.496325759
dlpfc,10,1,25,0,1,127,5,2,20,40,14,15,45,39,52,,,,,,1,1,2,2,2,,,,,,,,,,0.315297,,,,,
dlpfc,10,1,25,0,1,128,5,2,60,48,62,36,53,51,50,,,,,,1,2,1,2,1,,,,,,,,,,0.2773775,,,,,
